,Hospital_Norm,Traffic_Norm,Enforcement_Norm,Fire_Norm,Roads_Norm,Median_Age_Norm,Crude Depression Prevalence Estimate_Norm,Average_Family_Size_Norm,Population_Density_Norm,Shannon_Weiner,Percent_Male,Percent_H,Overdoses,County Name
3904,1.809343724246136e-05,0.02611030886288312,0.0003799621820916886,0.00011609955563912708,0.024415405364595126,0.7254545454545455,0.8194444444444444,0.7367741197988112,0.0005908457791891074,0.1916671561251537,0.5091383020640742,0.021853120358864,506.0,GIBSON
3908,0.00019168480475954022,0.04560352106315143,0.0010063452249875861,0.000559080680548659,0.0027508336965657337,0.8672727272727273,0.7048611111111112,0.725925925925926,9.474133617242734e-06,0.4174005709304333,0.4985720114239086,0.1930566373650828,763.0,GILA
3909,5.143102436996776e-05,0.05100391367917344,0.00013500643897116537,0.00021001001617736834,0.030464097014430973,0.7791387559808614,0.8993055555555555,0.7139701104613384,0.0002597436736918181,0.3165580322395102,0.4850428749099954,0.0367545984159193,203.0,GILES
3922,7.965064628480026e-05,0.09770511044232716,0.0012544976789856043,0.0004181658929952014,0.009939563834757578,0.6418181818181817,0.6562499999999999,0.8197530864197531,2.7296524037542595e-05,0.3143218484055727,0.510568474540386,0.4460284413705494,379.0,GLENN
3923,7.581743386273005e-07,0.013422397460563212,1.1941245833379984e-05,1.5479392746974054e-05,0.04564871019190595,0.7279081472161056,0.6284722222222222,0.7674113944779075,0.012007608723419917,0.4062685531282167,0.4918020489169963,0.0790375765245384,5686.0,GLOUCESTER
3927,1.7304204805126677e-05,0.030834214345035228,0.0001816941504538301,1.514117920448584e-05,0.02973533522701655,0.7163636363636363,0.6527777777777778,0.7358024691358025,0.0007497935344790215,0.4959038608971214,0.4696341047732107,0.0710045957286757,1017.0,GLYNN
3933,0.00011468338773944561,0.04792638994883678,0.001204175571264179,0.00026759457139203976,0.017969048008282935,0.6254545454545454,0.6284722222222222,0.8197530864197531,3.474946922506382e-05,0.2059749619086363,0.5121221762647152,0.2997772828507795,0.0,GOODING
3934,2.000837825231323e-05,0.04317704709026986,0.0004201759432985778,1.167155398051605e-05,0.03683431539557095,0.6545454545454545,0.7604166666666666,0.7901234567901235,0.0004025975289629976,0.2665935817717186,0.4960986531872307,0.1728466261831258,313.0,GORDON
3937,2.1737309584321065e-05,0.02271254549196272,0.0001141208753176856,4.438034040132217e-05,0.01577465013324935,0.6900000000000001,0.7048611111111112,0.753909465020576,0.0003255460830804773,0.5073433846711095,0.4865426022762227,0.1227314672408489,432.0,GRADY
3941,9.988204186526468e-06,0.009971202854085547,2.0975228791705584e-05,3.379342416441454e-05,0.00753636768789496,0.7490909090909091,0.78125,0.691358024691358,0.0008234089600310152,0.2268944736963497,0.4977064723569563,0.0271601957728858,725.0,GRAFTON
3942,3.361013082757764e-05,0.017264736865530417,0.0003529063736895652,4.901477412355071e-05,0.0039239266520766924,0.6656153516295026,0.6770833333333334,0.8062689261588634,6.404472404310879e-05,0.3919560181533767,0.5279661672554733,0.335207199773073,462.0,GRAHAM
3952,0.000277878544314752,0.10863343214575498,0.002917724715304896,0.0005673353613092853,0.0045107276768333385,0.7368764568764569,0.670138888888889,0.7075445816186557,8.340770919984083e-06,0.1760657095056679,0.5363688249096328,0.1017819772972287,76.0,GRAND
3958,5.925529342653358e-05,0.028723231494694905,0.00043206984790180735,0.00021123414786310577,0.009082237102059153,0.7272442440066461,0.8611111111111112,0.7379033297875771,0.0011229962463791027,0.1919010007242943,0.5007709251101321,0.0340308370044052,2677.0,GRANT
4169,3.419716779756584e-05,0.04011728328826409,0.00017953513093722066,0.00018950930487817734,0.0068327099802115605,0.7618181818181818,0.9930555555555556,0.725925925925926,8.861638664206387e-05,0.3596826975453132,0.512902723331343,0.1132298346270671,1278.0,GRAYS HARBOR
4170,1.7392222865724575e-05,0.019761508544381762,0.00011413646255631753,7.355460920296018e-05,0.01987782737238113,0.776011423131842,0.9236111111111112,0.7106392605520006,0.0008210636328642311,0.1197891018694408,0.5064774135406106,0.0159588449551274,809.0,GRAYSON
4179,0.0014684011842430028,0.10308324263127366,0.007709106217275765,0.0034262694299003397,0.018742454635870792,0.8451693404634583,0.6458333333333334,0.7164366981360445,2.9853701695293955e-06,0.1222566274436768,0.5028618152085037,0.205233033524121,0.0,GREELEY
4184,5.166172993253282e-06,0.01183421359861366,3.350415132389261e-05,2.2158830240669715e-05,0.02300860736643753,0.6997557261462722,0.7673611111111112,0.7224236397939933,0.015554583315678501,0.3701445718595896,0.4645648073295608,0.0218270008084074,4076.0,GREENE
4380,7.780251509409038e-06,0.00919095796766124,5.1057900530496816e-06,1.5317370159149042e-05,0.01659641396665618,0.6745454545454546,0.75,0.7481481481481481,0.0036766690136756618,0.4586123885190337,0.4866812665389178,0.1031736472305867,8701.0,GREENVILLE
4386,9.32486260268468e-06,0.016168382007098837,3.263701910939638e-05,1.6318509554698185e-05,0.0477155156820895,0.6418181818181817,0.798611111111111,0.7679012345679013,0.0033594217805699594,0.466362697899946,0.4901907639326228,0.2022193346779015,422.0,GREGG
4387,0.005883356927000191,0.053004303659836854,0.015443811933375502,0.008579895518541944,0.012522072645109841,0.8727272727272727,0.5208333333333334,0.7012345679012346,9.514557385837164e-07,0.3017483695253523,0.5121150933871782,0.019434628975265,0.0,GREGORY
4389,1.6223027987477872e-05,0.02640852262018472,0.00017034179386851765,8.832537459849063e-05,0.030283505081884477,0.6854833581718827,0.5972222222222222,0.7639951426836673,0.0012436776645762372,0.1769853994922507,0.5035538545653363,0.1177014008031522,788.0,GRUNDY
4405,0.001013883806493528,0.2367103924486946,0.005322889984091021,0.004140025543181905,0.004351110539319987,0.7290909090909091,0.5416666666666666,0.7234567901234569,1.8190695867493557e-06,0.3009030847724034,0.5781902552204177,0.7937354988399072,617.0,GUADALUPE
4411,0.00027949481074481073,0.09743435508568538,0.004402043269230769,0.0009782318376068376,0.004046148796431781,0.6236363636363635,0.6805555555555556,0.6888888888888889,3.201712190340327e-06,0.2080965173500445,0.5408003706492153,0.1040134360340534,0.0,GUNNISON
4412,0.00047823070959317746,0.0741226882279766,0.007532133676092545,0.0025107112253641814,0.022239457755146776,0.8145454545454545,0.5729166666666666,0.7111111111111111,1.038666276384663e-05,0.1145489504807087,0.5014558091481168,0.0300554146707992,0.0,GUTHRIE
4414,0.004395835208689651,0.06540161270439872,0.023078134845620667,0.0076927116152068886,0.007219090361775492,0.88,0.5451388888888888,0.7061728395061728,3.787856834959564e-07,0.2278478099722788,0.4890470974808324,0.0262869660460021,0.0,HAAKON
4415,3.228820918351604e-05,0.0438376812758343,0.0010170785892807555,7.533915476153743e-05,0.047259046936581874,0.7,0.75,0.7604938271604939,0.000323210487561688,0.2982059569261562,0.4825065824117956,0.1701527119536598,394.0,HABERSHAM
4417,9.743819845084904e-05,0.031896214276288797,0.00017051684728898583,0.00015157053092354296,0.015474579963183164,0.6495650381364666,0.8194444444444444,0.7891884325746759,0.00010169422437066932,0.4778176566220963,0.4754367934224049,0.0161699212058924,0.0,HALE
4421,2.7678966779123098e-05,0.021792867164776148,7.265728779519813e-05,0.0001776067034993732,0.015901145268233875,0.8109090909090909,0.7569444444444444,0.7185185185185187,0.0002528738787956869,0.5901346275126599,0.4859137268015382,0.0348603912389232,1245.0,HALIFAX
4425,7.967511912721971e-06,0.021459203884421938,5.57725833890538e-05,1.5492384274737166e-05,0.02589944826245462,0.6478950990136861,0.6597222222222222,0.8045416316232129,0.0024247449003061607,0.3481702060222791,0.5006911402403476,0.2981635416470765,1859.0,HALL
4435,2.2305460353291734e-06,0.007466983580031843,9.691337946602617e-06,3.993190172442745e-06,0.02865236097385283,0.6860174428931757,0.6631944444444445,0.7535138629576561,0.08976820877839235,0.5268092159675312,0.5422561852160097,0.1170462283422864,22521.0,HAMILTON
4536,9.022790035603299e-06,0.012205528841524045,0.0002368482384345866,4.9124079082729066e-05,0.02349827386019391,0.6801600308493204,0.7048611111111112,0.7143709987824516,0.001760221562735553,0.3236354806828314,0.4679865672743376,0.0650232489482618,509.0,HAMPSHIRE
4541,2.2145402365994383e-05,0.020082142281761604,0.00023252672484294103,0.00010205339590329076,0.02375434428140042,0.7722547468354432,0.6215277777777777,0.719346284575715,0.0034547028489119534,0.4686786570848296,0.5559794920710623,0.0311195898414212,2529.0,HANCOCK
4645,7.31500861261125e-05,0.054487730286759815,0.0019201897608104531,8.534176714713124e-05,0.046574858757062146,0.6981818181818181,0.7465277777777778,0.762962962962963,0.00014146522396113012,0.2258945546903945,0.4921658103838912,0.0244439480486326,241.0,HARALSON
4646,0.00017680552840112286,0.0719451533780549,0.002784687072317685,0.00010313655823398834,0.02066361699461085,0.5963636363636363,0.6875,0.8691358024691358,2.5341211378863862e-05,0.3256286858450952,0.5362448820432832,0.4425034119711444,54.0,HARDEE
4647,0.00021310412154644496,0.04996189449266043,0.0003729322127062787,0.00033149530018335887,0.019337915476591694,0.7407036307345904,0.8333333333333333,0.7400603906279861,6.141792767277814e-05,0.5135183469809619,0.5516863175212503,0.0219358376748012,0.0,HARDEMAN
4651,2.1601850464434125e-05,0.026759858155122128,0.00016201387848325594,7.740663083088893e-05,0.020771021258633452,0.7025405490940739,0.6111111111111112,0.7379535613362129,0.0014092189856768872,0.1631301490685886,0.5148735056991938,0.0258548790658882,1143.0,HARDIN
4692,0.0025207553662838214,0.11043305444249517,0.019850948509485097,0.011028304727491719,0.022977492857640582,0.8854545454545455,1.0,0.691358024691358,4.042376859443013e-06,0.138360437816424,0.4821525991738757,0.011222819733458,0.0,HARLAN
